"Passengers (All U.S. Carriers - Dallas/Fort Worth, TX: Dallas/Fort Worth International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"19,12,156","1,26,191","20,38,347"
2002,11,"17,35,527","1,24,480","18,60,007"
2002,12,"19,90,101","1,49,338","21,39,439"
2002,TOTAL,"2,24,55,238","16,06,365","2,40,61,603"
2003,1,"16,91,952","1,30,352","18,22,304"
2003,2,"15,61,678","1,15,882","16,77,560"
2003,3,"19,51,977","1,37,735","20,89,712"
2003,4,"17,70,298","1,12,178","18,82,476"
2003,5,"19,48,301","1,26,892","20,75,193"
2003,6,"20,66,008","1,49,761","22,15,769"
2003,7,"22,20,271","1,67,071","23,87,342"
2003,8,"20,58,910","1,59,999","22,18,909"
2003,9,"16,77,281","1,20,565","17,97,846"
2003,10,"19,40,700","1,25,734","20,66,434"
2003,11,"19,39,177","1,38,586","20,77,763"
2003,12,"21,10,642","1,62,760","22,73,402"
2003,TOTAL,"2,29,37,195","16,47,515","2,45,84,710"
2004,1,"19,12,654","1,43,651","20,56,305"
2004,2,"18,80,923","1,41,466","20,22,389"
2004,3,"22,31,013","1,66,340","23,97,353"
2004,4,"21,15,198","1,53,178","22,68,376"
2004,5,"22,04,423","1,61,875","23,66,298"
2004,6,"23,32,304","1,79,605","25,11,909"
2004,7,"24,00,489","1,95,310","25,95,799"
2004,8,"22,01,457","1,73,871","23,75,328"
2004,9,"19,85,986","1,44,107","21,30,093"
2004,10,"21,92,997","1,44,056","23,37,053"
2004,11,"20,91,506","1,46,269","22,37,775"
2004,12,"21,13,523","1,74,379","22,87,902"
2004,TOTAL,"2,56,62,473","19,24,107","2,75,86,580"
2005,1,"19,52,674","1,59,575","21,12,249"
2005,2,"17,62,974","1,48,120","19,11,094"
2005,3,"21,68,649","1,86,379","23,55,028"
2005,4,"20,56,646","1,61,255","22,17,901"
2005,5,"21,82,266","1,80,312","23,62,578"
2005,6,"23,28,553","2,10,478","25,39,031"
2005,7,"24,14,128","2,19,961","26,34,089"
2005,8,"21,86,923","1,84,817","23,71,740"
2005,9,"19,98,024","1,57,205","21,55,229"
2005,10,"21,37,651","1,59,595","22,97,246"
2005,11,"21,37,506","1,56,919","22,94,425"
2005,12,"21,47,222","1,90,805","23,38,027"
2005,TOTAL,"2,54,73,216","21,15,421","2,75,88,637"
2006,1,"20,13,233","1,74,993","21,88,226"
2006,2,"18,71,478","1,60,472","20,31,950"
2006,3,"22,46,324","1,99,669","24,45,993"
2006,4,"21,88,225","1,77,919","23,66,144"
2006,5,"23,31,076","2,03,601","25,34,677"
2006,6,"23,82,931","2,15,285","25,98,216"
2006,7,"24,12,173","2,16,395","26,28,568"
2006,8,"21,69,476","1,92,917","23,62,393"
2006,9,"19,68,583","1,58,401","21,26,984"
2006,10,"21,66,614","1,65,586","23,32,200"
2006,11,"20,70,310","1,56,750","22,27,060"
2006,12,"21,38,856","1,86,939","23,25,795"
2006,TOTAL,"2,59,59,279","22,08,927","2,81,68,206"
2007,1,"19,44,528","1,65,520","21,10,048"
2007,2,"18,62,273","1,51,472","20,13,745"
2007,3,"22,48,185","1,87,613","24,35,798"
2007,4,"21,46,564","1,65,960","23,12,524"
2007,5,"22,75,247","1,87,298","24,62,545"
2007,6,"23,04,943","1,99,264","25,04,207"
2007,7,"24,02,764","2,07,914","26,10,678"
2007,8,"22,98,706","1,89,908","24,88,614"
2007,9,"19,88,647","1,57,263","21,45,910"
2007,10,"21,97,609","1,64,035","23,61,644"
2007,11,"21,39,381","1,65,855","23,05,236"
2007,12,"20,73,437","1,89,658","22,63,095"
2007,TOTAL,"2,58,82,284","21,31,760","2,80,14,044"
2008,1,"19,56,747","1,76,110","21,32,857"
2008,2,"19,01,839","1,65,231","20,67,070"
2008,3,"20,82,202","1,85,014","22,67,216"
2008,4,"19,50,412","1,55,036","21,05,448"
2008,5,"21,69,750","1,86,826","23,56,576"
2008,6,"22,86,232","1,92,502","24,78,734"
2008,7,"23,51,781","1,95,321","25,47,102"
2008,8,"21,81,822","1,79,368","23,61,190"
2008,9,"18,60,962","1,44,709","20,05,671"
2008,10,"20,83,345","1,53,608","22,36,953"
2008,11,"18,45,563","1,56,136","20,01,699"
2008,12,"20,19,018","1,70,522","21,89,540"
2008,TOTAL,"2,46,89,673","20,60,383","2,67,50,056"
2009,1,"17,83,541","1,55,915","19,39,456"
2009,2,"17,11,344","1,44,166","18,55,510"
2009,3,"20,64,594","1,68,572","22,33,166"
2009,4,"20,10,195","1,54,401","21,64,596"
2009,5,"20,68,553","1,49,733","22,18,286"
2009,6,"22,36,639","1,79,159","24,15,798"
2009,7,"23,60,815","1,96,493","25,57,308"
2009,8,"21,49,547","1,77,261","23,26,808"
2009,9,"18,98,584","1,53,787","20,52,371"
2009,10,"20,65,766","1,62,987","22,28,753"
2009,11,"19,25,607","1,59,237","20,84,844"
2009,12,"19,93,864","1,76,419","21,70,283"
2009,TOTAL,"2,42,69,049","19,78,130","2,62,47,179"
2010,1,"18,29,013","1,65,873","19,94,886"
2010,2,"16,58,806","1,50,356","18,09,162"
2010,3,"20,88,259","1,83,881","22,72,140"
2010,4,"20,36,994","1,70,306","22,07,300"
2010,5,"20,97,306","1,87,010","22,84,316"
2010,6,"22,34,369","2,05,092","24,39,461"
2010,7,"22,75,466","2,22,032","24,97,498"
2010,8,"21,17,181","1,94,860","23,12,041"
2010,9,"19,70,768","1,70,637","21,41,405"
2010,10,"21,41,521","1,82,111","23,23,632"
2010,11,"20,02,041","1,76,330","21,78,371"
2010,12,"20,49,174","1,99,638","22,48,812"
2010,TOTAL,"2,45,00,898","22,08,126","2,67,09,024"
2011,1,"18,44,550","1,79,381","20,23,931"
2011,2,"16,75,301","1,54,143","18,29,444"
2011,3,"21,10,738","1,94,305","23,05,043"
2011,4,"20,05,792","1,72,918","21,78,710"
2011,5,"21,06,041","1,87,181","22,93,222"
2011,6,"23,12,567","2,16,304","25,28,871"
2011,7,"23,59,578","2,38,907","25,98,485"
2011,8,"21,80,705","2,03,555","23,84,260"
2011,9,"20,57,802","1,72,482","22,30,284"
2011,10,"21,63,883","1,80,578","23,44,461"
2011,11,"20,17,400","1,73,831","21,91,231"
2011,12,"19,92,786","2,01,998","21,94,784"
2011,TOTAL,"2,48,27,143","22,75,583","2,71,02,726"
2012,1,"18,55,273","1,78,396","20,33,669"
2012,2,"18,30,112","1,64,884","19,94,996"
2012,3,"21,56,992","1,98,165","23,55,157"
2012,4,"20,00,783","1,84,076","21,84,859"
2012,5,"22,30,058","2,06,303","24,36,361"
2012,6,"22,76,172","2,33,372","25,09,544"
2012,7,"22,86,257","2,49,575","25,35,832"
2012,8,"22,00,780","2,17,842","24,18,622"
2012,9,"19,72,731","1,82,925","21,55,656"
2012,10,"21,45,674","1,93,572","23,39,246"
2012,11,"20,58,545","1,94,262","22,52,807"
2012,12,"20,89,677","2,21,270","23,10,947"
2012,TOTAL,"2,51,03,054","24,24,642","2,75,27,696"
2013,1,"19,94,045","1,97,972","21,92,017"
2013,2,"19,12,274","1,80,546","20,92,820"
2013,3,"22,13,486","2,14,130","24,27,616"
2013,4,"21,19,794","1,99,190","23,18,984"
2013,5,"22,47,800","2,27,135","24,74,935"
2013,6,"23,22,101","2,64,120","25,86,221"
2013,7,"23,68,476","2,76,796","26,45,272"
2013,8,"22,58,497","2,49,681","25,08,178"
2013,9,"20,40,942","1,97,480","22,38,422"
2013,10,"22,47,399","2,09,485","24,56,884"
2013,11,"20,15,462","2,11,651","22,27,113"
2013,12,"20,65,469","2,38,430","23,03,899"
2013,TOTAL,"2,58,05,745","26,66,616","2,84,72,361"
2014,1,"20,84,164","2,29,131","23,13,295"
2014,2,"18,99,494","1,94,504","20,93,998"
2014,3,"22,84,571","2,33,982","25,18,553"
2014,4,"22,21,816","2,17,159","24,38,975"
2014,5,"23,69,941","2,47,280","26,17,221"
2014,6,"24,97,531","2,84,486","27,82,017"
2014,7,"25,59,855","2,93,316","28,53,171"
2014,8,"24,30,793","2,59,233","26,90,026"
2014,9,"22,56,546","2,09,500","24,66,046"
2014,10,"23,41,753","2,19,748","25,61,501"
2014,11,"20,78,769","2,19,342","22,98,111"
2014,12,"22,84,535","2,63,113","25,47,648"
2014,TOTAL,"2,73,09,768","28,70,794","3,01,80,562"
2015,1,"21,18,970","2,32,436","23,51,406"
2015,2,"18,63,444","2,04,920","20,68,364"
2015,3,"23,11,467","2,45,672","25,57,139"
2015,4,"22,87,938","2,28,846","25,16,784"
2015,5,"23,42,822","2,62,828","26,05,650"
2015,6,"25,21,252","3,06,602","28,27,854"
2015,7,"26,59,886","3,21,907","29,81,793"
2015,8,"25,05,866","2,84,270","27,90,136"
2015,9,"23,07,017","2,32,051","25,39,068"
2015,10,"24,07,787","2,46,902","26,54,689"
2015,11,"22,23,013","2,31,495","24,54,508"
2015,12,"22,53,382","2,70,228","25,23,610"
2015,TOTAL,"2,78,02,844","30,68,157","3,08,71,001"
2016,1,"21,52,028","2,37,813","23,89,841"
2016,2,"20,50,695","2,13,118","22,63,813"
2016,3,"23,30,612","2,66,597","25,97,209"
2016,4,"22,12,483","2,31,576","24,44,059"
2016,5,"23,48,182","2,62,558","26,10,740"
2016,6,"24,52,003","3,15,304","27,67,307"
2016,7,"25,04,898","3,22,866","28,27,764"
2016,8,"23,27,463","2,68,586","25,96,049"
2016,9,"23,00,893","2,32,267","25,33,160"
2016,10,"23,42,607","2,49,634","25,92,241"
2016,11,"21,66,278","2,31,587","23,97,865"
2016,12,"21,86,309","2,76,910","24,63,219"
2016,TOTAL,"2,73,74,451","31,08,816","3,04,83,267"
2017,1,"20,93,354","2,33,892","23,27,246"
2017,2,"19,68,043","2,13,176","21,81,219"
2017,3,"23,48,339","2,56,492","26,04,831"
2017,4,"21,90,320","2,40,318","24,30,638"
2017,5,"23,95,616","2,81,976","26,77,592"
2017,6,"24,77,813","3,32,176","28,09,989"
2017,7,"25,22,827","3,33,909","28,56,736"
2017,8,"24,26,793","2,94,964","27,21,757"
2017,9,"22,44,372","2,45,596","24,89,968"
2017,10,"24,61,306","2,41,072","27,02,378"
2017,11,"22,78,597","2,29,122","25,07,719"
2017,12,"23,22,473","2,82,109","26,04,582"
2017,TOTAL,"2,77,29,853","31,84,802","3,09,14,655"
2018,1,"21,60,971","2,40,035","24,01,006"
2018,2,"20,67,138","2,18,673","22,85,811"
2018,3,"24,13,520","2,72,806","26,86,326"
2018,4,"23,39,863","2,45,837","25,85,700"
2018,5,"24,86,662","2,96,513","27,83,175"
2018,6,"26,68,888","3,47,973","30,16,861"
2018,7,"26,85,970","3,39,271","30,25,241"
2018,8,"25,59,948","2,91,007","28,50,955"
2018,9,"22,05,032","2,34,844","24,39,876"
2018,10,"23,89,929","2,52,799","26,42,728"
2018,11,"23,41,624","2,50,778","25,92,402"
2018,12,"23,22,300","2,92,106","26,14,406"
2018,TOTAL,"2,86,41,845","32,82,642","3,19,24,487"
2019,1,"22,62,602","2,54,213","25,16,815"
2019,2,"21,44,479","2,40,172","23,84,651"
2019,3,"25,51,711","3,01,321","28,53,032"
2019,4,"24,30,865","2,61,725","26,92,590"
2019,5,"27,69,693","3,27,129","30,96,822"
2019,6,"28,16,069","4,04,617","32,20,686"
2019,7,"29,27,073","4,02,870","33,29,943"
2019,8,"28,10,899","3,56,385","31,67,284"
2019,9,"25,61,346","2,94,988","28,56,334"
2019,10,"26,70,063","2,94,988","29,65,051"
2019,11,"25,23,194","2,69,506","27,92,700"
2019,12,"26,72,173","3,25,564","29,97,737"
2019,TOTAL,"3,11,40,167","37,33,478","3,48,73,645"
2020,1,"24,00,320","2,67,576","26,67,896"
2020,2,"23,40,608","2,44,477","25,85,085"
2020,3,"13,70,671","1,40,738","15,11,409"
2020,4,"1,90,037","11,382","2,01,419"
2020,5,"5,94,573","23,137","6,17,710"
2020,6,"9,94,818","47,148","10,41,966"
2020,7,"14,55,106","90,495","15,45,601"
2020,8,"14,35,399","82,573","15,17,972"
2020,9,"15,13,376","84,011","15,97,387"
2020,10,"16,93,117","1,12,987","18,06,104"
2020,11,"14,73,157","1,30,993","16,04,150"
2020,12,"14,92,398","1,81,725","16,74,123"
2020,TOTAL,"1,69,53,580","14,17,242","1,83,70,822"
2021,1,"13,15,547","1,10,384","14,25,931"
2021,2,"11,04,414","82,250","11,86,664"
2021,3,"19,57,990","1,72,803","21,30,793"
2021,4,"20,56,340","1,79,891","22,36,231"
2021,5,"23,93,968","2,27,465","26,21,433"
2021,6,"27,50,542","2,97,266","30,47,808"
2021,7,"29,51,556","3,23,388","32,74,944"
2021,8,"24,79,063","2,11,903","26,90,966"
2021,9,"23,69,962","1,77,169","25,47,131"
2021,10,"26,13,602","2,09,859","28,23,461"
2021,11,"25,46,818","2,27,131","27,73,949"
2021,12,"25,52,614","2,98,301","28,50,915"
2021,TOTAL,"2,70,92,416","25,17,810","2,96,10,226"
2022,1,"20,28,768","2,04,490","22,33,258"
2022,2,"18,32,576","1,88,443","20,21,019"
2022,3,"25,37,270","2,90,785","28,28,055"
2022,4,"25,71,565","3,08,372","28,79,937"
2022,5,"28,06,091","3,58,350","31,64,441"
2022,6,"28,34,135","4,17,169","32,51,304"
2022,7,"28,38,079","4,25,929","32,64,008"
2022,8,"26,60,701","3,36,028","29,96,729"
2022,9,"26,42,419","3,05,644","29,48,063"
2022,10,"27,80,354","3,21,483","31,01,837"
2022,11,"25,12,839","3,18,337","28,31,176"
2022,12,"25,80,993","3,71,568","29,52,561"
2022,TOTAL,"3,06,25,790","38,46,598","3,44,72,388"
2023,1,"23,26,242","3,09,072","26,35,314"
2023,2,"22,91,815","2,85,777","25,77,592"
2023,3,"27,26,152","3,42,375","30,68,527"
2023,4,"26,89,169","3,09,378","29,98,547"
2023,5,"29,71,637","3,58,045","33,29,682"
2023,6,"31,05,206","4,48,330","35,53,536"
2023,7,"31,69,886","4,46,137","36,16,023"
2023,TOTAL,"1,92,80,107","24,99,114","2,17,79,221"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
